productId,listingCount,currency,lowestNew,highestNew,averageNew,medianNew,lowestRefurbished,lowestUsed,retailerCount,regionCount,inStockCount
macbook-pro-m3-max,31,PLN,11999,41999,28911.625,34049,21369,,2,3,31
macbook-pro-m5,280,PLN,7199,13400,10017.998888888887,9929,13339,,4,5,278
macbook-pro-m4-max,76,PLN,12999,18019,15466.142857142857,15249,15199,,2,5,76
macbook-pro-m4-pro,86,PLN,6999,13499,10885.75625,10749,10169,,2,5,86
macbook-pro-m2-max,12,EUR,2262.59,2262.59,2262.59,2262.59,3379,,3,3,12
mac-mini-m4,14,PLN,2276.99,12499,6516.208888888888,4999,,,3,5,14
mac-studio-m3-ultra,11,USD,5299,6799,6049,6049,,,2,5,11
mac-studio-m4-max,10,USD,2499,3499,2999,2999,,,1,5,10
mac-mini-m4-pro,18,PLN,7999,29999,13499,11499,,,2,5,18
macbook-pro-m5-max,18,PLN,19444,40739,29699.9,29544,,,2,5,18
macbook-pro-m5-pro,20,PLN,7199,17399,12765.1,12949.5,,,3,5,18
ddr5-32gb-5600,61,JPY,52900,144980,76290.75,62479.5,,,5,5,28
ddr5-64gb-5600,42,EUR,676.91,1013.96,828.6408333333333,814.19,,,4,5,25
ddr4-32gb-3200,43,JPY,21900,46924,31875.384615384617,36009,,,5,5,16
rtx-5090,32,PLN,8699,19999,18056.370000000003,19188.99,,,5,4,20
rtx-5080,38,JPY,193414,287735,243482.45454545456,254694,,,5,5,26
rtx-5070-ti,37,JPY,159800,229968,180800.83333333334,180890.5,,,5,5,26
rtx-5070,42,JPY,97800,159800,120471.1,119709.5,,,5,5,28
rtx-4080,20,JPY,138900,300000,183433.33333333334,154900,,,4,3,12
rtx-4070-ti,18,JPY,81900,264980,153285.33333333334,132900,,,4,3,9
rtx-4070-super,13,JPY,81100,332800,194272.625,167300,,,4,4,5
rtx-4070,25,JPY,67900,290980,176935.81818181818,175800,,,4,4,15
rtx-4060-ti,14,JPY,41900,197800,121818,135900,,,4,3,5
rtx-4060,21,JPY,41900,197800,100483.92307692308,98480,,,4,3,10
rtx-3090,2,PLN,8349.86,8405.7,8377.78,8377.78,,,1,1,2
rtx-3080,19,JPY,40900,203600,105496.91666666667,91166,,,3,2,9
rtx-3070,21,JPY,32900,159800,90526.07692307692,87300,,,3,2,11
rtx-3060,33,JPY,29900,159300,79580.25,70800,,,4,4,14
rtx-pro-6000-blackwell,5,PLN,56199,59109.99,57351.9975,57049.5,,,2,2,5
mac-studio-m1-max,1,PLN,8999,8999,8999,8999,,,1,1,1
mac-studio-m1-ultra,1,PLN,21864.99,21864.99,21864.99,21864.99,,,1,1,1
ddr4-ecc-64gb,33,PLN,1719.65,4637.1,2796.947500000001,2656.56,,,2,4,13
ddr5-ecc-64gb,21,USD,1655.26,1655.26,1655.26,1655.26,,,2,3,6
rtx-4090,7,JPY,370900,708800,539114.2857142857,550800,,,1,1,0
rtx-4080-super,11,JPY,147900,583800,272288.8888888889,250500,,,3,3,3
rtx-4070-ti-super,10,JPY,126900,332800,189185,132900,,,2,2,2
amd-strix-halo-mini-pc,14,JPY,189071,1594168,756034,613942,,,1,4,5
rtx-a6000,9,USD,5476.96,7699,6530.183999999999,6999,,,1,2,4
